id,candidate,song,artist,sentiment,theme,album_release_date,line,url
1,Mike Huckabee,None Shall Pass,Aesop Rock,neutral,N/A,2011,"Wither by the watering hole, Border patrol / What are we to Heart Huckabee",http://genius.com/Aesop-rock-none-shall-pass-lyrics
2,Mike Huckabee,Wellstone,Soul Khan,negative,N/A,2012,Might find the door but never touch the key / They get tricked by slick Mike Huckabee,http://genius.com/Soul-khan-wellstone-lyrics
3,Jeb Bush,Awe,Dez & Nobs,neutral,N/A,2006,I heard Jeb Bush looking for a (inaudible),http://genius.com/Dez-and-nobs-awe-lyrics
4,Jeb Bush,The Truth,Diabolic,negative,political,2006,What you heard before ain't as big of a lesson / As George and Jeb Bush rigging elections,http://genius.com/Diabolic-the-truth-lyrics
5,Jeb Bush,Money Man,Gorilla Zoe,negative,personal,2007,I'm comin back from Florida / Wit Jeb Bush and his daughter,http://genius.com/Gorilla-zoe-money-man-lyrics
6,Jeb Bush,Hidden Agenda,K-Rino,negative,political,2012,The Rockefeller's and the Bush family in the same box G / Henry Ford all of them supported the Nazis,http://genius.com/K-rino-hidden-agenda-lyrics
7,Jeb Bush,Bricks and Marijuana,Kase,neutral,N/A,2001,When Jeb Bush pushing life / If I tout my weapon,http://genius.com/Trick-daddy-bricks-and-marijuana-lyrics
8,Jeb Bush,Bush Song,Macklemore,negative,political,2005,"Way to go Jeb, really great strategy",http://genius.com/Macklemore-bush-song-lyrics
9,Jeb Bush,Shoot Me in the Head,R.A. The Rugged Man,negative,political,2013,"Obama nation, the Bushes, the Clintons or '80s Reaganomics / It don't matter, the government always be taking your profits",http://genius.com/Ra-the-rugged-man-shoot-me-in-the-head-lyrics
10,Jeb Bush,Chamber of Fear,RZA,neutral,personal,2005,Bobby got Bush like George and Jeb,http://genius.com/Rza-chamber-of-fear-lyrics
11,Jeb Bush,Tell Me Why,Zeno,neutral,personal,2005,I was promised eternal life from the beginning / But look at Bush and his brother,http://genius.com/Vanilla-ice-tell-me-why-lyrics
12,Ben Carson,Next Black President,King Los,positive,N/A,2011,I was the heart transplant when hip hop died / Verbally Iå'm Ben Carson,http://genius.com/King-los-next-black-president-lyrics
13,Chris Christie,Daydreaming,Awkwafina,neutral,N/A,2014,"Chris Christie, you a man beast",http://genius.com/Awkwafina-daydreaming-lyrics
14,Chris Christie,Brass Tacks,Chris Webby,neutral,N/A,2016,Eating rappers like I got the appetite of Chris Christie,http://genius.com/Chris-webby-brass-tacks-lyrics
15,Ted Cruz,PNT,Apollo Brown & Ras Kass,negative,political,2015,Fuck Fox News and fuck Ted Cruz,http://genius.com/Apollo-brown-and-ras-kass-pnt-lyrics
16,Hillary Clinton,Tec in the Church,Joyner Lucas,neutral,N/A,2016,"Hillary Clinton ain't gon' like this, she's fanning next to a serpent",http://genius.com/Jarren-benton-tec-in-the-church-lyrics
17,Hillary Clinton,Thugz Tear Dropz,Young Noble,negative,N/A,2013,Until we really saw the true problem / Even Hilary couldn't rob him,http://genius.com/Young-noble-thugz-tear-dropz-lyrics
18,Hillary Clinton,Gotta Be Insanity,Ice Cube,positive,personal,2000,Would you stay down like Hillary? / Even if you thought about killin' me?,http://genius.com/Ice-cube-gotta-be-insanity-lyrics
19,Hillary Clinton,Shorty Baby,Bas,negative,personal,2013,Makin me call Lewinski / You fuckin up like Hilary did,http://genius.com/Bas-shorty-baby-lyrics
20,Hillary Clinton,Take Notice,Sheek Louch,neutral,N/A,2012,"Hillary said I frighten her / Alarm go off, choking off the teeth whitener",http://genius.com/Wu-block-take-notice-lyrics
21,Hillary Clinton,Disgusting,Logic,neutral,personal,2012,However on the light of note I stayed with bills like Hilary,http://genius.com/Logic-disgusting-lyrics
22,Hillary Clinton,My Heart,Jae Tips,neutral,personal,2011,Michelle to my Obama / You Hilary my Clinton,http://genius.com/Jae-tips-my-heart-lyrics
23,Hillary Clinton,We Can Get It On,Yo Gotti,neutral,personal,2012,"We like Hova and B / Maybe Hillary, Bill",http://genius.com/Yo-gotti-we-can-get-it-on-lyrics
24,Hillary Clinton,Where They Do That At,Yo Gotti,positive,N/A,2015,All I know is white girl I call her Hillary cause that bitch got power plus she so considerate,http://genius.com/Yo-gotti-where-they-do-that-at-lyrics
25,Hillary Clinton,What If,Nas,neutral,N/A,2009,What if Hilary and them was Reptilian? / And 2012 was the end of men and all world civilians?,http://genius.com/Jadakiss-what-if-lyrics
26,Hillary Clinton,We Live This,Roxanne ShantÌ©,neutral,N/A,2000,"Roxanne ShantÌ©, Hilary Clinton / Lay out the red carpet y'all hoes shut up and listen",http://genius.com/Big-noyd-we-live-this-lyrics
27,Hillary Clinton,Set Me Free,Crunch Lo,neutral,N/A,2005,"I'm so sex, and my Bonnie, my mami, my Hillary Rod",http://genius.com/Dom-pachino-set-me-free-lyrics
28,Hillary Clinton,Letter to the King,The Game,neutral,political,2008,If Dr. King marched today would Bill Gates march / I know Obama would but would Hilary take part,http://genius.com/The-game-letter-to-the-king-lyrics
29,Hillary Clinton,Grillz,Ali,neutral,N/A,2005,Got a bill in my mouth like I'm Hillary Rodham,http://genius.com/Nelly-grillz-lyrics
30,Hillary Clinton,Nothing on My Mind,AllDay,neutral,N/A,2013,Young buck but I never suck call me Hillary,http://genius.com/Allday-nothing-on-my-mind-lyrics
31,Hillary Clinton,Gossip Folks,Angel Haze,negative,N/A,2012,Û÷Cause I was alone at the bottom / Kept getting played like Hilary Rodham,http://genius.com/Angel-haze-gossip-folks-lyrics
32,Hillary Clinton,No Church in the Wild Freestyle,Angel Haze,negative,political,2012,"We goverend by fucking animals hello Mr. Obama, Comma Mrs. Obama comma future elections, hello Hillary Rodham",http://genius.com/Angel-haze-no-church-in-the-wild-freestyle-lyrics
33,Hillary Clinton,Again (Stankonia Remix),Big Boi,neutral,N/A,2001,"Thinkin the Hillary Clinton, not to mention, and she got yo baby",http://genius.com/Lenny-kravitz-again-stankonia-remix-lyrics
34,Hillary Clinton,Energy,Big Boi,neutral,personal,2008,Energy like Bill and Hillary Clinton,http://genius.com/Raheem-devaughn-energy-feat-big-boi-lyrics
35,Hillary Clinton,No Sunshine,Rhymefest,positive,money,2007,Until we all fuckin' with bills/Bill's like Hillary Rodham,http://genius.com/Rhymefest-no-sunshine-lyrics
36,Hillary Clinton,Unapologetic,Charles Hamilton,negative,political,2008,"You more like Hillary / Only in it cuz you used to fuck the ex leader, n----",http://genius.com/Charles-hamilton-unapologetic-lyrics
37,Hillary Clinton,Dark Night of the Blood Spiller,Chino XL,negative,sexual,1994,Getting my dick sucked / On the cover of Source magazine by Hillary Clinton,http://genius.com/Chino-xl-night-of-the-blood-spiller-lyrics
38,Hillary Clinton,Nunca,Chino XL,neutral,N/A,2001,"I'll shoot out with Bill & Hillary, still won't run out of artillery",http://genius.com/Chino-xl-nunca-lyrics
39,Hillary Clinton,Datpiff (freeverse series Ep. 4),Chris Webby,neutral,N/A,2016,"The planet is collapsing, economies are crashin' / And Hillary Clinton is dabbin'",http://genius.com/Chris-webby-datpiff-freeverse-series-ep-4-lyrics
40,Hillary Clinton,One,Corny,positive,money,2014,"Blowing up like some artillery, Bills coming to me like Hillary",http://genius.com/Corny-one-lyrics
41,Hillary Clinton,Single Again (Remix),Trina,positive,N/A,2007,Like Hillary Clinton / I'm the boss,http://genius.com/Trina-single-again-remix-lyrics
42,Hillary Clinton,Fukinwichu,Cunninlynguists,negative,personal,2001,Send Hillary the Bill and Lewinski scene in claymation,http://genius.com/Cunninlynguists-fukinwichu-lyrics
43,Hillary Clinton,Opening Day,E-dubble,negative,N/A,2010,"Specially when you throwin' like Hillary Rodham / Problem, from top to bottom",http://genius.com/E-dubble-opening-day-lyrics
44,Hillary Clinton,Role Model,Eminem,negative,N/A,1999,Hillary Clinton tried to slap me and call me a pervert / I ripped her fucking tonsils out and fed her sherbet (bitch!),http://genius.com/Eminem-role-model-lyrics
45,Hillary Clinton,Sway in the Morning Freestyle,Eminem,negative,political,2015,"But Hilllary, I promise to wipe my server clean if you face subpoenas",http://genius.com/Eminem-sway-in-the-morning-freestyle-lyrics
46,Hillary Clinton,A Milli,Fabolous,negative,personal,2008,"Hillary, Bill Clin--Fuck it. They don't get it",http://genius.com/Fabolous-a-milli-lyrics
47,Hillary Clinton,Hit It for Free,Field Mob,negative,personal,2002,I'm like Farakahn being best friends with porky pig / Or like Hillary Clinton dikin' with Lewinsky,http://genius.com/Field-mob-hit-it-for-free-lyrics
48,Hillary Clinton,Make U Feel Alright,Jay Da Menace,positive,personal,2009,"Got'chu feelin me the way that Jada feelin Will / And Hillary feelin Bill, a chick that gon' keep it real - f'real",http://genius.com/Juvenile-make-u-feel-alright-lyrics
49,Hillary Clinton,Dope Boy,Gorilla Zoe,neutral,N/A,2009,"Hey Ms. Hilary, can't be kin to me (No) / But I keep that white bitch on another level G",http://genius.com/Gorilla-zoe-dope-boy-lyrics
50,Hillary Clinton,Money Man,Gorilla Zoe,neutral,personal,2007,"Keep dat white girl Hillary, a pound of Bill Clinton",http://genius.com/Gorilla-zoe-money-man-lyrics
51,Hillary Clinton,What's Goin' On,Gravediggaz,neutral,personal,1997,"Killa Bee, presidential suite, Bill and Hillary",http://genius.com/Gravediggaz-whats-goin-on-lyrics
52,Hillary Clinton,Greasy,Gucci Mane,neutral,N/A,2013,What you're Hillary Rodham bitch?,http://genius.com/Gucci-mane-greasy-lyrics
53,Hillary Clinton,Every Girl,Gudda Gudda,neutral,N/A,2010,"And Hillary can Rodham too, boy, I gets my pimpin' on",http://genius.com/Young-money-every-girl-lyrics
54,Hillary Clinton,Bad Bad Bad,Gucci Mane,positive,personal,2010,Stay down like Hillary and I can be your Billy,http://genius.com/Gucci-mane-bad-bad-bad-lyrics
55,Hillary Clinton,Hand of the Dead Body,Ice Cube,negative,personal,1994,"And I can't stop, won't stop / So fuck Bill and Hillary",http://genius.com/Scarface-hand-of-the-dead-body-lyrics
56,Hillary Clinton,Stand Tall,Ice Cube,negative,N/A,2008,Never put your trust in Hillary Rodham / Cause I can tell you now it's gon' turn out rotten,http://genius.com/Ice-cube-stand-tall-lyrics
57,Hillary Clinton,American History X,Ill Bill,negative,political,2004,"I eat politicians for breakfast / Till infinity it's endless / Bill and Hillary, George Bush, everybody's gettin it",http://genius.com/Ill-bill-american-history-x-lyrics
58,Hillary Clinton,Twisted Thoughts,ISO,neutral,political,2015,"Couldn't pay my bills, where the fuck is Hillary?",http://genius.com/King-iso-twisted-thoughts-lyrics
59,Hillary Clinton,Holla at a Playa (Remix),Jae Millz,neutral,political,2008,"Straight Osam 'em, treat 'em like Hillary",http://genius.com/Jae-millz-holla-at-a-playa-remix-lyrics
60,Hillary Clinton,Mayor Bloomberg: Who's Really in Control?,Jasiri X,neutral,N/A,2013,2016 that's right Hillary I'll show you what a Billie means,http://genius.com/Jasiri-x-mayor-bloomberg-whos-really-in-control-lyrics
61,Hillary Clinton,NYMP,Jay Z,neutral,political,1999,"I take and rape villages, who gon' stop him? / Not Rudy Guiliani, not Hillary Rodham",http://genius.com/Jay-z-nymp-lyrics
62,Hillary Clinton,"Bitch, Don't Kill My Vibe (Remix)",Jay Z,neutral,N/A,2012,Sittin' next to Hillary smellin' like dank,http://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-remix-lyrics
63,Hillary Clinton,I Luv Your Girl (Remix),Jeezy,neutral,N/A,2008,"It goes Hillary Clinton, Barack Obama",http://genius.com/The-dream-i-luv-your-girl-remix-lyrics
64,Hillary Clinton,U Ain't Fresh,KAM,neutral,personal,2000,"Like Bill ass Hillary, ""what's up?"" / Still love me, pretty young thang?",http://genius.com/Dj-quik-u-aint-fresh-lyrics
65,Hillary Clinton,Pressure,Killer Mike,negative,political,2008,Or you a dirty n---- working for a fucking Clinton / Or you dirty n---- working for a fucking Bush,http://genius.com/Killer-mike-pressure-lyrics
66,Hillary Clinton,R.I.P.,King Kold,neutral,N/A,2014,Was content with that basic shit / My Hillary Clinton,http://genius.com/King-kold-rip-lyrics
67,Hillary Clinton,Bring It Back,KRS-ONE,neutral,N/A,1997,It Takes a Village like Hillary,http://genius.com/Krs-one-bring-it-back-lyrics
68,Hillary Clinton,Smilin' Faces,Kutt Calhoun,negative,N/A,2008,Look at Hillary Clinton when she speak / Looking like the devil with a grin,http://genius.com/Kutt-calhoun-smilin-faces-lyrics
69,Hillary Clinton,Whatever You Want,Big Sean,positive,money,2010,Leading lady like Hillary grabbing big Bills,http://genius.com/Big-sean-whatever-you-want-lyrics
70,Hillary Clinton,Lollipop,Lil Wayne,neutral,personal,2008,"And when I'm at the bottom, she Hillary Rodham",http://genius.com/Lil-wayne-lollipop-lyrics
71,Hillary Clinton,Let's Stay Together,Ludacris,negative,personal,2008,"Hillary's still with Bill Clinton, how do they do it? / He got his dick sucked and the whole damn WORLD knew it",http://genius.com/Ludacris-lets-stay-together-lyrics
72,Hillary Clinton,Politics as Usual (Obama Is Here),Ludacris,negative,political,2008,Hillary hated on you so that {censored} bitch is irrelevant,http://genius.com/Ludacris-politics-as-usual-obama-is-here-lyrics
73,Hillary Clinton,The Ghetto Won't Change,Master P,negative,political,1996,"Every dollar I make, ten go back to Hillary and Bill, I guess life is real",http://genius.com/Master-p-the-ghetto-wont-change-lyrics
74,Hillary Clinton,Bitch I'm Bill Clinton,Lil B,positive,political,2010,"Shout-outs to Hillary Clinton, you gonna win that presidency",http://genius.com/Lil-b-bitch-im-bill-clinton-lyrics
75,Hillary Clinton,Fuck the Government,Mediumjay,negative,political,2012,"Fuck, The Governments Shit / Fuck, Hillary Clinton that Bitch",http://genius.com/Mediumjay-fuck-the-government-lyrics
76,Hillary Clinton,Cradle Rock,Method Man,negative,political,1998,Bad vibes filling me with thoughts of conspiracy / White Water scandals with Bill Clinton/Hillary,http://genius.com/Method-man-cradle-rock-lyrics
77,Hillary Clinton,Vietnam,Mickey Factz,neutral,political,2008,Nothing against Hilary Clinton / But Obama's about to be winning,http://genius.com/Mickey-factz-vietnam-lyrics
78,Hillary Clinton,A Thing for Me,G-Eazy,neutral,personal,2011,"Liberally, accepting Monicas but missing Hillary",http://genius.com/G-eazy-a-thing-for-me-lyrics
79,Hillary Clinton,Poizon Windz,Monsta Island Czars,neutral,N/A,2003,"Head essential lightning agency throats, thinkin of Hilary Clinton",http://genius.com/Monsta-island-czars-poizon-windz-lyrics
80,Hillary Clinton,Little This Little That,Naj Murph,neutral,personal,2013,I need a Hillary so let me know if you fit the bill; when we chill,http://genius.com/Naj-murph-little-this-little-that-lyrics
81,Hillary Clinton,Male Feminist,Mazeman,positive,political,2011,"Hilary Clinton, yeah she's winning",http://genius.com/Mc-lars-male-feminist-lyrics
82,Hillary Clinton,Shoot Me a Fair One,Papoose,negative,political,2008,"More like Obama versus Hillary, nothing / A intelligent black man against a woman",http://genius.com/Papoose-shoot-me-a-fair-one-lyrics
83,Hillary Clinton,Krazy,Pitbull,neutral,personal,2009,Obama with no color / Hillary with no Bill,http://genius.com/Pitbull-krazy-lyrics
84,Hillary Clinton,Happy People,Prince Ital Joe,negative,political,1993,Mr. Bill Clinton and the bird Hillary / Wrap up the war on the brutality,http://genius.com/Prince-ital-joe-happy-people-lyrics
85,Hillary Clinton,Yzark,Proof,neutral,personal,2004,While Clinton got head I was in the sack with old Hillary,http://genius.com/Proof-yzark-lyrics
86,Hillary Clinton,PSA,Pryde,neutral,personal,2012,But they only like me for my bill like they're Hillary,http://genius.com/Pryde-psa-lyrics
87,Hillary Clinton,Fall Down Brew,R.A. the Rugged Man,negative,N/A,2008,"Sewed Hillary Clinton's mouth, and that's after drinkin just one",http://genius.com/Chief-chinchilla-aka-j-zone-fall-down-brew-lyrics
88,Hillary Clinton,Smells Like,R.A. The Rugged Man,neutral,sexual,2013,"Hillary Clinton can get her clit done with my big tounge / Have the bitch strung, once me dick swung, her lip drip cum",http://genius.com/Jarren-benton-smells-like-lyrics
89,Hillary Clinton,Born to Ball,Skeme,positive,money,2012,But I'm all about my bills / Grind stay Hillary Rodham,http://genius.com/Skeme-born-to-ball-lyrics
90,Hillary Clinton,RNQ,Rhymefest,negative,political,2009,"Hillary, Jesse Jack, even Barack's involved / When police beatin' our ass, none of y'all do a damn thang",http://genius.com/Rhymefest-rnq-lyrics
91,Hillary Clinton,TimeZone,Saba,positive,personal,2014,Y'all ain't near and dear to me like William and Hillary,http://genius.com/Saba-timezone-lyrics
92,Hillary Clinton,White Girl (Remix),Rick Ross,positive,N/A,2007,"Hilary Clinton, she my best friend / Even co-signed for that new white Benz",http://genius.com/Jeezy-white-girl-remix-lyrics
93,Hillary Clinton,Now That I'm Paid,Rick Ross,neutral,N/A,2012,Whip it in the kitchen before Hillary became a Clinton,http://genius.com/The-game-now-that-im-paid-lyrics
94,Hillary Clinton,Life So Hard,Migos,positive,N/A,2015,Make a basic bitch feel like Hillary Clinton,http://genius.com/Migos-life-so-hard-lyrics
95,Hillary Clinton,I'm Me Freestyle,"Royce Da 5'9""",neutral,N/A,2008,"This industry is Hillary Clinton literally, listen / You ain't got no choice now",http://genius.com/Royce-da-59-im-me-freestyle-lyrics
96,Hillary Clinton,Back Together,Nicki Minaj,positive,N/A,2015,Used to call me Hillary cause I ride 'em,http://genius.com/Robin-thicke-back-together-lyrics
98,Hillary Clinton,What the Fuck Is Up?,Scarlett,neutral,personal,1999,"Wanna diss me, cuz I cut you down quickly / I'm Hillary to this shit, you still fuckin with Lewinsky",http://genius.com/Nore-what-the-fuck-is-up-lyrics
99,Hillary Clinton,Shit Iz Real,Shyheim,neutral,money,1996,Where ya at? Cats sacking green/ Bill/Hill Clinton,http://genius.com/Shyheim-shit-iz-real-lyrics
100,Hillary Clinton,Badman in Tivoli,Skepta,neutral,personal,2012,Black Bill Clinton linking Monica and Hillary,http://genius.com/Skepta-badman-in-tivoli-lyrics
101,Hillary Clinton,Fresh,Slick Rick,neutral,personal,1998,Babies jump out the carriage / Could even fix the Hillary and Clinton marriage,http://genius.com/Jermaine-dupri-fresh-lyrics
102,Hillary Clinton,Sky Lanterns,Social Club,neutral,N/A,2015,Hillary Jane over Hilary Rodham,http://genius.com/Social-club-sky-lanterns-lyrics
103,Hillary Clinton,Gang Love,T.H.U.G. Angelz,negative,political,2008,It's like we paying them rent to live inside a prison / Hilary Clinton is benefiting them politicians,http://genius.com/Thug-angelz-gang-love-lyrics
