trial_1_r,trial_1_theta
6.804985785,-30.35294436
3.389596011,-25.61145985
5.381472111,-12.42522745
8.059540219,13.96138052
5.318229228,-4.950932841
2.985099936,-25.69227419
1.966587002,12.46876416
6.769265408,-4.913764107
4.073401899,-10.96738029
6.504371825,30.81419405
7.556369819,2.474959431
4.047456094,17.97554375
7.386662496,0.771130593
5.413624737,6.137488486
7.470716531,-14.45196357
7.982110217,28.18453411
4.73781408,12.53868007
4.206453043,-8.983230337
5.478604805,5.231285165
4.824520281,-64.48900254
5.59960061,11.35748668
6.866795217,3.454074792
3.085671366,13.92434661
7.771810943,-25.36400205
3.687794435,-16.81800639
5.360356685,-10.26005103
5.140446739,-13.21213413
6.045445681,2.579338865
6.83392094,8.717574966
3.620769463,-10.67549872
3.989430583,-2.926366013
5.3118245,25.19588075
4.60821348,40.59032932
6.640584716,-9.12143363
3.055188854,-24.29736238
7.492564164,-3.176944506
5.485078178,10.85049842
3.897794997,-31.33205975
5.976245114,4.849567462
5.447061561,15.04827695
5.377034117,3.295104699
4.690805788,-6.197091873
4.711640491,-8.778574136
3.629919329,29.54917412
5.957668076,-5.137448793
5.357121284,23.02686049
3.849235283,-6.634816578
6.250507136,2.755014992
7.122243357,21.73325011
3.399404234,-24.81699496
3.510556672,-7.830547063
4.100997604,28.32579621
4.0963821,12.30097747
6.233583075,-21.56315724
3.939488527,-19.33551628
3.925445077,26.14644317
6.118132501,-1.706071203
3.940450346,16.0717237
7.583015573,2.053266303
3.513202145,-5.097911612
