Year,Region,Country,Christians,Muslims,Unaffiliated,Hindus,Buddhists,Folk Religions,Other Religions,Jews,All Religions
2010, World, All Countries,2168330000,1599700000,   1131150000,   1032210000,     487760000,     404690000,      58150000,      13860000,6895850000
2010,North America, All Countries,266630000,3480000,      59040000,       2250000,       3860000,       1020000,       2200000,       6040000,344530000
2010,Latin America-Caribbean, All Countries,531280000,840000,      45390000,         660000,         410000,      10040000,         990000,         470000,590080000
2010,Europe, All Countries,553280000,43470000,     139890000,       1380000,       1350000,         870000,         890000,       1420000,742550000
2010,Middle East-North Africa, All Countries,12710000,317070000,       2100000,       1720000,         500000,       1060000,         230000,       5630000,341020000
2010,Sub-Saharan Africa, All Countries,517320000,248420000,      26240000,       1560000,         160000,      27010000,       1920000,         100000,822730000
2010,Asia-Pacific, All Countries,287100000,986420000,     858490000,   1024630000,     481480000,     364690000,      51920000,         200000,4054940000
2010,Asia-Pacific,Afghanistan,30000,31330000,         10000,          10000,         10000,         10000,          20000,         10000,31410000
2010,Europe,Albania,580000,2570000,          50000,         10000,         10000,         10000,         10000,         10000,3200000
2010,Middle East-North Africa,Algeria,60000,34730000,         660000,         10000,         10000,          10000,         10000,         10000,35470000
2010,Asia-Pacific,American Samoa,50000,10000,         10000,         10000,         10000,         10000,         10000,         10000,60000
2010,Europe,Andorra,70000,10000,         10000,         10000,         10000,         10000,         10000,         10000,80000
2010,Sub-Saharan Africa,Angola,17270000,40000,         980000,         10000,         10000,         790000,         10000,         10000,19080000
2010,Latin America-Caribbean,Anguilla,10000,10000,         10000,         10000,         10000,         10000,         10000,         10000,10000
2010,Latin America-Caribbean,Antigua and Barbuda,80000,10000,         10000,         10000,         10000,         10000,         10000,         10000,90000
2010,Latin America-Caribbean,Argentina,34420000,400000,       4920000,         10000,          20000,         330000,         120000,         200000,40410000
2010,Asia-Pacific,Armenia,3050000,10000,          40000,         10000,         10000,         10000,         10000,         10000,3090000
2010,Latin America-Caribbean,Aruba,100000,10000,         10000,         10000,         10000,         10000,         10000,         10000,110000
2010,Asia-Pacific,Australia,14980000,540000,       5390000,         310000,         600000,         150000,         180000,         110000,22270000
2010,Europe,Austria,6750000,450000,       1130000,         10000,          20000,         10000,          10000,          10000,8390000
2010,Asia-Pacific,Azerbaijan,280000,8900000,         10000,         10000,         10000,         10000,         10000,         10000,9190000
2010,Latin America-Caribbean,Bahamas,330000,10000,          10000,         10000,         10000,         10000,         10000,         10000,340000
2010,Middle East-North Africa,Bahrain,180000,890000,          20000,         120000,          30000,         10000,         10000,         10000,1260000
2010,Asia-Pacific,Bangladesh,450000,134430000,         10000,      12680000,         920000,         100000,         100000,         10000,148690000
2010,Latin America-Caribbean,Barbados,260000,10000,         10000,         10000,         10000,         10000,         10000,         10000,270000
2010,Europe,Belarus,6830000,20000,       2740000,         10000,         10000,         10000,         10000,         10000,9600000
2010,Europe,Belgium,6880000,630000,       3110000,         10000,          30000,          20000,          10000,          30000,10710000
2010,Latin America-Caribbean,Belize,270000,10000,          30000,         10000,         10000,         10000,         10000,         10000,310000
2010,Sub-Saharan Africa,Benin,4690000,2110000,         450000,         10000,         10000,       1600000,         10000,         10000,8850000
2010,North America,Bermuda,50000,10000,          10000,         10000,         10000,         10000,         10000,         10000,60000
2010,Asia-Pacific,Bhutan,10000,10000,         10000,         160000,         540000,          10000,         10000,         10000,730000
2010,Latin America-Caribbean,Bolivia,9330000,10000,         400000,         10000,         10000,          90000,         100000,         10000,9930000
2010,Europe,Bosnia-Herzegovina,1970000,1700000,          90000,         10000,         10000,         10000,         10000,         10000,3760000
2010,Sub-Saharan Africa,Botswana,1450000,10000,         410000,         10000,         10000,         120000,          10000,         10000,2010000
2010,Latin America-Caribbean,Brazil,173300000,40000,      15410000,         10000,         250000,       5540000,         300000,         110000,194950000
2010,Latin America-Caribbean,British Virgin Islands,20000,10000,         10000,         10000,         10000,         10000,         10000,         10000,30000
2010,Asia-Pacific,Brunei,40000,300000,         10000,         10000,          30000,          20000,         10000,         10000,400000
2010,Europe,Bulgaria,6150000,1020000,         310000,         10000,         10000,         10000,         10000,         10000,7490000
2010,Sub-Saharan Africa,Burkina Faso,3710000,10150000,          70000,         10000,         10000,       2530000,         10000,         10000,16470000
2010,Sub-Saharan Africa,Burundi,7670000,230000,         10000,         10000,         10000,         480000,         10000,         10000,8380000
2010,Asia-Pacific,Cambodia,50000,280000,          30000,         10000,      13690000,          80000,         10000,         10000,14140000
2010,Sub-Saharan Africa,Cameroon,13780000,3590000,       1050000,         10000,         10000,         650000,         530000,         10000,19600000
2010,North America,Canada,23470000,710000,       8050000,         470000,         280000,         390000,         300000,         350000,34020000
2010,Sub-Saharan Africa,Cape Verde,440000,10000,          50000,         10000,         10000,         10000,         10000,         10000,500000
2010,Latin America-Caribbean,Cayman Islands,50000,10000,         10000,         10000,         10000,         10000,         10000,         10000,60000
2010,Sub-Saharan Africa,Central African Republic,3940000,370000,          40000,         10000,         10000,          40000,         10000,         10000,4400000
2010,Sub-Saharan Africa,Chad,4560000,6210000,         280000,         10000,         10000,         160000,          20000,         10000,11230000
