IATA,NAME,CITY
AOO,Altoona Blair County Airport,Altoona
APA,Centennial Airport,Denver
APC,Napa County Airport,Napa
APF,Naples Municipal Airport,Naples
APG,Phillips Army Air Field,Aberdeen
APN,Alpena County Regional Airport,Alpena
APT,Marion County Brown Field,Jasper
ARA,Acadiana Regional Airport,Louisiana
ARB,Ann Arbor Municipal Airport,Ann Arbor
ARC,Arctic Village Airport,Arctic Village
ART,Watertown International Airport,Watertown
ARV,Lakeland-Noble F. Lee Memorial field,Minocqua - Woodruff
ASE,Aspen-Pitkin Co/Sardy Field,Aspen
ASH,Boire Field,Nashua
ASN,Talladega Municipal Airport,Talladega
AST,Astoria Regional Airport,Astoria
ATK,Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta
ATO,Ohio University Snyder Field,Athens
ATW,Appleton International Airport,Appleton
ATY,Watertown Regional Airport,Watertown
AUG,Augusta State Airport,Augusta
AUK,Alakanuk Airport,Alakanuk
AUO,Auburn University Regional Airport,Auburn
AUS,Austin Bergstrom International Airport,Austin
AUW,Wausau Downtown Airport,Wausau
AVL,Asheville Regional Airport,Asheville
AVO,Avon Park Executive Airport,Avon Park
AVP,Wilkes Barre Scranton International Airport,Scranton
AVW,Marana Regional Airport,Tucson
AVX,Catalina Airport,Catalina Island
AXN,Chandler Field,Alexandria
AYS,Waycross Ware County Airport,Waycross
AZA,Phoenix-Mesa-Gateway Airport,Mesa
AZO,Kalamazoo Battle Creek International Airport,Kalamazoo
BAB,Beale Air Force Base,Marysville
BAD,Barksdale Air Force Base,Shreveport
BAF,Westfield-Barnes Regional Airport,Westfield
BBC,Bay City Municipal Airport,Bay City
BBD,Curtis Field,Brady
BBX,Wings Field,Philadelphia
BCE,Bryce Canyon Airport,Bryce Canyon
BCT,Boca Raton Airport,Boca Raton
BDE,Baudette International Airport,Baudette
BDL,Bradley International Airport,Windsor Locks
BDR,Igor I Sikorsky Memorial Airport,Stratford
BEC,Beech Factory Airport,Wichita
BED,Laurence G Hanscom Field,Bedford
BET,Bethel Airport,Bethel
BFD,Bradford Regional Airport,Bradford
BFF,Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff
BFI,Boeing Field King County International Airport,Seattle
BFK,Buckley Air Force Base,Buckley
BFL,Meadows Field,Bakersfield
BFM,Mobile Downtown Airport,Mobile
BFP,Beaver County Airport,Beaver Falls
BFT,Beaufort County Airport,Beaufort
BGD,Hutchinson County Airport,Borger
BGE,Decatur County Industrial Air Park,Bainbridge
BGM,Greater Binghamton/Edwin A Link field,Binghamton
BGR,Bangor International Airport,Bangor
BHB,Hancock County-Bar Harbor Airport,Bar Harbor
BHM,Birmingham-Shuttlesworth International Airport,Birmingham
BID,Block Island State Airport,Block Island
BIF,Biggs Army Air Field (Fort Bliss),El Paso
BIG,Allen Army Airfield,Delta Junction
BIH,Eastern Sierra Regional Airport,Bishop
BIL,Billings Logan International Airport,Billings
BIS,Bismarck Municipal Airport,Bismarck
BIX,Keesler Air Force Base,Biloxi
BJC,Rocky Mountain Metropolitan Airport,Broomfield-CO
BJI,Bemidji Regional Airport,Bemidji
BKC,Buckland Airport,Buckland
BKD,Stephens County Airport,Breckenridge
BKE,Baker City Municipal Airport,Baker City
BKG,Branson Airport,Branson
BKH,Barking Sands Airport,Barking Sands
BKL,Burke Lakefront Airport,Cleveland
BKW,Raleigh County Memorial Airport,Beckley
BLF,Mercer County Airport,Bluefield
BLH,Blythe Airport,Blythe
BLI,Bellingham International Airport,Bellingham
BLV,Scott AFB/Midamerica Airport,Belleville
BMC,Brigham City Regional Airport,Brigham City
BMG,Monroe County Airport,Bloomington
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington
BMT,Beaumont Municipal Airport,Beaumont
BMX,Big Mountain Airport,Big Mountain
BNA,Nashville International Airport,Nashville
BNG,Banning Municipal Airport,Banning
BNO,Burns Municipal Airport,Burns
BOI,Boise Air Terminal/Gowen Field,Boise
BOS,General Edward Lawrence Logan International Airport,Boston
BOW,Bartow Municipal Airport,Bartow
BPI,Miley Memorial Field,Big Piney
BPT,Southeast Texas Regional Airport,Beaumont
BQK,Brunswick Golden Isles Airport,Brunswick
BRD,Brainerd Lakes Regional Airport,Brainerd
BRL,Southeast Iowa Regional Airport,Burlington
BRO,Brownsville South Padre Island International Airport,Brownsville
BRW,Wiley Post Will Rogers Memorial Airport,Barrow
BSF,Bradshaw Army Airfield,Bradshaw Field
BTI,Barter Island LRRS Airport,Barter Island
BTL,W K Kellogg Airport,Battle Creek
BTM,Bert Mooney Airport,Butte
BTR,Baton Rouge Metropolitan Airport,Baton Rouge
BTT,Bettles Airport,Bettles
BTV,Burlington International Airport,Burlington
BUF,Buffalo Niagara International Airport,Buffalo
BUR,Bob Hope Airport,Burbank
BVY,Beverly Municipal Airport,Beverly
BWG,Bowling Green Warren County Regional Airport,Bowling Green
BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore
BXK,Buckeye Municipal Airport,Buckeye
BYH,Arkansas International Airport,Blytheville
BYI,Burley Municipal Airport,Burley
BYS,Bicycle Lake Army Air Field,Fort Irwin
BZN,Gallatin Field,Bozeman
CAE,Columbia Metropolitan Airport,Columbia
CAK,Akron Canton Regional Airport,Akron
CAR,Caribou Municipal Airport,Caribou
CBE,Greater Cumberland Regional Airport,Cumberland
CBF,Council Bluffs Municipal Airport,Council Bluffs
CBM,Columbus Air Force Base,Colombus
CCB,Cable Airport,Upland
CCR,Buchanan Field,Concord
CCY,Northeast Iowa Regional Airport,Charles City
CDB,Cold Bay Airport,Cold Bay
CDC,Cedar City Regional Airport,Cedar City
CDN,Woodward Field,Camden
CDR,Chadron Municipal Airport,Chadron
CDS,Childress Municipal Airport,Childress
CDV,Merle K (Mudhole) Smith Airport,Cordova
CDW,Essex County Airport,Caldwell
CEC,Jack Mc Namara Field Airport,Crescent City
CEF,Westover ARB/Metropolitan Airport,Chicopee Falls
CEM,Central Airport,Central
CEU,Oconee County Regional Airport,Clemson
CEW,Bob Sikes Airport,Crestview
CEZ,Cortez Municipal Airport,Cortez
CFD,Coulter Field,Bryan
CFV,Coffeyville Municipal Airport,Coffeyville
CGF,Cuyahoga County Airport,Richmond Heights
CGI,Cape Girardeau Regional Airport,Cape Girardeau
CGX,Chicago Meigs Airport,Chicago
CGZ,Casa Grande Municipal Airport,Casa Grande
CHA,Lovell Field,Chattanooga
CHO,Charlottesville Albemarle Airport,Charlottesville VA
CHS,Charleston Air Force Base-International Airport,Charleston
CHU,Chuathbaluk Airport,Chuathbaluk
CIC,Chico Municipal Airport,Chico
CID,The Eastern Iowa Airport,Cedar Rapids
CIK,Chalkyitsik Airport,Chalkyitsik
CIU,Chippewa County International Airport,Sault Ste Marie
CKB,North Central West Virginia Airport,Clarksburg
CKV,Clarksville–Montgomery County Regional Airport,Clarksville
CLD,Mc Clellan-Palomar Airport,Carlsbad
CLE,Cleveland Hopkins International Airport,Cleveland
CLL,Easterwood Field,College Station
CLM,William R Fairchild International Airport,Port Angeles
CLP,Clarks Point Airport,Clarks Point
CLS,Chehalis Centralia Airport,Chehalis
CLT,Charlotte Douglas International Airport,Charlotte
CLU,Columbus Municipal Airport,Columbus
CLW,Clearwater Air Park,Clearwater
CMH,John Glenn Columbus International Airport,Columbus
CMI,University of Illinois Willard Airport,Champaign
CMX,Houghton County Memorial Airport,Hancock
CNM,Cavern City Air Terminal,Carlsbad
CNO,Chino Airport,Chino
CNU,Chanute Martin Johnson Airport,Chanute
CNW,TSTC Waco Airport,Waco
CNY,Canyonlands Field,Moab
COD,Yellowstone Regional Airport,Cody
COE,Coeur D'Alene - Pappy Boyington Field,Coeur d'Alene
COF,Patrick Air Force Base,Coco Beach
CON,Concord Municipal Airport,Concord NH
COS,City of Colorado Springs Municipal Airport,Colorado Springs
COT,Cotulla-La Salle County Airport,Cotulla
COU,Columbia Regional Airport,Columbia
CPR,Casper-Natrona County International Airport,Casper
CRE,Grand Strand Airport,North Myrtle Beach
CRG,Jacksonville Executive at Craig Airport,Jacksonville
CRP,Corpus Christi International Airport,Corpus Christi
CRW,Yeager Airport,Charleston
CSG,Columbus Metropolitan Airport,Columbus
CSM,Clinton Sherman Airport,Clinton
CSV,Crossville Memorial Whitson Field,Crossville
CTB,Cut Bank International Airport,Cutbank
CTH,Chester County G O Carlson Airport,Coatesville
CTY,Cross City Airport,Cross City
CUB,Jim Hamilton L.B. Owens Airport,Columbia
CUH,Cushing Municipal Airport,Cushing
CVG,Cincinnati Northern Kentucky International Airport,Cincinnati
CVN,Clovis Municipal Airport,Clovis
CVO,Corvallis Municipal Airport,Corvallis
CVS,Cannon Air Force Base,Clovis
CWA,Central Wisconsin Airport,Wassau
CWI,Clinton Municipal Airport,Clinton
CXL,Calexico International Airport,Calexico
CXO,Conroe-North Houston Regional Airport,Conroe
CYF,Chefornak Airport,Chefornak
CYS,Cheyenne Regional Jerry Olson Field,Cheyenne
CYT,Yakataga Airport,Yakataga
CZF,Cape Romanzof LRRS Airport,Cape Romanzof
DAA,Davison Army Air Field,Fort Belvoir
DAB,Daytona Beach International Airport,Daytona Beach
DAG,Barstow Daggett Airport,Daggett
DAL,Dallas Love Field,Dallas
DAN,Danville Regional Airport,Danville
DAY,James M Cox Dayton International Airport,Dayton
DBN,W H 'Bud' Barron Airport,Dublin
DBQ,Dubuque Regional Airport,Dubuque IA
DCA,Ronald Reagan Washington National Airport,Washington
DCU,Pryor Field Regional Airport,Decatur
DDC,Dodge City Regional Airport,Dodge City
DEC,Decatur Airport,Decatur
DEN,Denver International Airport,Denver
DET,Coleman A. Young Municipal Airport,Detroit
DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth
DGL,Douglas Municipal Airport,Douglas
DHN,Dothan Regional Airport,Dothan
DHT,Dalhart Municipal Airport,Dalhart
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson
DKK,Chautauqua County-Dunkirk Airport,Dunkirk
DLF,DLF Airport,Del Rio
DLG,Dillingham Airport,Dillingham
DLH,Duluth International Airport,Duluth
DLS,Columbia Gorge Regional the Dalles Municipal Airport,The Dalles
DMA,Davis Monthan Air Force Base,Tucson
DMN,Deming Municipal Airport,Deming
DNL,Daniel Field,Augusta
DNN,Dalton Municipal Airport,Dalton
DNV,Vermilion Regional Airport,Danville
DOV,Dover Air Force Base,Dover
DPA,Dupage Airport,West Chicago
DRA,Desert Rock Airport,Mercury
DRE,Drummond Island Airport,Drummond Island
DRG,Deering Airport,Deering
DRI,Beauregard Regional Airport,Deridder
DRO,Durango La Plata County Airport,Durango
DRT,Del Rio International Airport,Del Rio
DSI,Destin Executive Airport,Destin
DSM,Des Moines International Airport,Des Moines
DTA,Delta Municipal Airport,Delta
DTN,Shreveport Downtown Airport,Shreveport
DTW,Detroit Metropolitan Wayne County Airport,Detroit
DUC,Halliburton Field,Duncan
DUG,Bisbee Douglas International Airport,Douglas
DUJ,DuBois Regional Airport,Du Bois
DUT,Unalaska Airport,Unalaska
DVL,Devils Lake Regional Airport,Devils Lake
DVT,Phoenix Deer Valley Airport,Phoenix 
DWH,David Wayne Hooks Memorial Airport,Houston
DXR,Danbury Municipal Airport,Danbury
DYL,Doylestown Airport,Doylestown
DYS,Dyess Air Force Base,Abilene
EAA,Eagle Airport,Eagle
EAT,Pangborn Memorial Airport,Wenatchee
EAU,Chippewa Valley Regional Airport,Eau Claire
ECA,Iosco County Airport,East Tawas
ECG,Elizabeth City Regional Airport & Coast Guard Air Station,Elizabeth City
ECP,Northwest Florida Beaches International Airport,Panama City
EDF,Elmendorf Air Force Base,Anchorage
EDW,Edwards Air Force Base,Edwards Afb
EED,Needles Airport,Needles
EEK,Eek Airport,Eek
EEN,Dillant Hopkins Airport,Keene
EFD,Ellington Airport,Houston
EGE,Eagle County Regional Airport,Vail
EGI,Duke Field,Crestview
EGV,Eagle River Union Airport,Eagle River
EGX,Egegik Airport,Egegik
EHM,Cape Newenham LRRS Airport,Cape Newenham
EIL,Eielson Air Force Base,Fairbanks
EKA,Murray Field,Eureka
EKI,Elkhart Municipal Airport,Elkhart
EKN,Elkins-Randolph Co-Jennings Randolph Field,Elkins
EKO,Elko Regional Airport,Elko
ELD,South Arkansas Regional At Goodwin Field,El Dorado
ELI,Elim Airport,Elim
ELM,Elmira Corning Regional Airport,Elmira
ELP,El Paso International Airport,El Paso
ELV,Elfin Cove Seaplane Base,Elfin Cove
ELY,Ely Airport Yelland Field,Ely
EMK,Emmonak Airport,Emmonak
EMT,San Gabriel Valley Airport,El Monte
ENA,Kenai Municipal Airport,Kenai
END,Vance Air Force Base,Enid
ENN,Nenana Municipal Airport,Nenana
ENV,Wendover Airport,Wendover
ENW,Kenosha Regional Airport,Kenosha
EOK,Keokuk Municipal Airport,Keokuk
ERI,Erie International Tom Ridge Field,Erie
ERV,Kerrville Municipal Louis Schreiner Field,Kerrville
ESC,Delta County Airport,Escanaba
ESD,Orcas Island Airport,Eastsound
ESF,Esler Regional Airport,Alexandria
ESN,Easton Newnam Field,Easton
ETB,West Bend Municipal Airport,WEST BEND
ETS,Enterprise Municipal Airport,Enterprise
EUF,Weedon Field,Eufala
EUG,Mahlon Sweet Field,Eugene
EVV,Evansville Regional Airport,Evansville
EVW,Evanston-Uinta County Airport-Burns Field,Evanston
EWB,New Bedford Regional Airport,New Bedford
EWK,Newton City-County Airport,Newton
EWN,Coastal Carolina Regional Airport,New Bern
EWR,Newark Liberty International Airport,Newark
EYW,Key West International Airport,Key West
FAF,Felker Army Air Field,Fort Eustis
FAI,Fairbanks International Airport,Fairbanks
FAR,Hector International Airport,Fargo
FAT,Fresno Yosemite International Airport,Fresno
FAY,Fayetteville Regional Grannis Field,Fayetteville
FBG,Simmons Army Air Field,Fredericksburg
FBK,Ladd AAF Airfield,Fort Wainwright
FBR,Fort Bridger Airport,Fort Bridger
FCA,Glacier Park International Airport,Kalispell
FCM,Flying Cloud Airport,Eden Prairie
FCS,Butts AAF (Fort Carson) Air Field,Fort Carson
FDY,Findlay Airport,Findley
FET,Fremont Municipal Airport,Fremont
FFA,First Flight Airport,Kill Devil Hills
FFO,Wright-Patterson Air Force Base,Dayton
FFT,Capital City Airport,Frankfort
FHU,Sierra Vista Municipal Libby Army Air Field,Fort Huachuca
FKL,Venango Regional Airport,Franklin
FLD,Fond du Lac County Airport,Fond du Lac
FLG,Flagstaff Pulliam Airport,Flagstaff
FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale
FLO,Florence Regional Airport,Florence
FLP,Marion County Regional Airport,Flippin
FLV,Sherman Army Air Field,Fort Leavenworth
FME,Tipton Airport,Fort Meade
FMH,Cape Cod Coast Guard Air Station,Falmouth
FMN,Four Corners Regional Airport,Farmington
FMY,Page Field,Fort Myers
FNL,Northern Colorado Regional Airport,Fort Collins
FNR,Funter Bay Seaplane Base,Funter Bay
FNT,Bishop International Airport,Flint
FOD,Fort Dodge Regional Airport,Fort Dodge
FOE,Topeka Regional Airport - Forbes Field,Topeka
FOK,Francis S Gabreski Airport,West Hampton Beach
FPR,St Lucie County International Airport,Fort Pierce
FRD,Friday Harbor Airport,Friday Harbor
FRG,Republic Airport,Farmingdale
FRI,Marshall Army Air Field,Fort Riley
FRN,Bryant Army Heliport,Fort Richardson
FRY,Eastern Slopes Regional Airport,Fryeburg
FSD,Joe Foss Field Airport,Sioux Falls
FSI,Henry Post Army Air Field (Fort Sill),Fort Sill
FSM,Fort Smith Regional Airport,Fort Smith
FST,Fort Stockton Pecos County Airport,Fort Stockton
FTK,Godman Army Air Field,Fort Knox
FTW,Fort Worth Meacham International Airport,Fort Worth
FTY,Fulton County Airport Brown Field,Atlanta
FUL,Fullerton Municipal Airport,Fullerton
FWA,Fort Wayne International Airport,Fort Wayne
FWH,NAS Fort Worth JRB/Carswell Field,Dallas
FXE,Fort Lauderdale Executive Airport,Fort Lauderdale
FYU,Fort Yukon Airport,Fort Yukon
FYV,Drake Field,Fayetteville
GAD,Northeast Alabama Regional Airport,Gadsden
GAI,Montgomery County Airpark,Gaithersburg
GAL,Edward G. Pitka Sr Airport,Galena
GAM,Gambell Airport,Gambell
GBD,Great Bend Municipal Airport,Great Bend
GBG,Galesburg Municipal Airport,Galesburg
GCC,Gillette Campbell County Airport,Gillette
GCK,Garden City Regional Airport,Garden City
GCN,Grand Canyon National Park Airport,Grand Canyon
GDC,Donaldson Field Airport,Greenville
GDV,Dawson Community Airport,Glendive
GDW,Gladwin Zettel Memorial Airport,Gladwin
GED,Sussex County Airport,Georgetown
GEG,Spokane International Airport,Spokane
GFK,Grand Forks International Airport,Grand Forks
GFL,Floyd Bennett Memorial Airport,Queensbury
GGE,Georgetown County Airport,Georgetown
GGG,East Texas Regional Airport,Longview
GGW,Wokal Field Glasgow International Airport,Glasgow
GIF,Winter Haven Regional Airport - Gilbert Field,Winter Haven
GJT,Grand Junction Regional Airport,Grand Junction
GKN,Gulkana Airport,Gulkana
GLD,Renner Field-Goodland Municipal Airport,Goodland
GLH,Mid Delta Regional Airport,Greenville
GLR,Gaylord Regional Airport,GAYLORD
GLS,Scholes International At Galveston Airport,Galveston
GLV,Golovin Airport,Golovin
GLW,Glasgow Municipal Airport,Glasgow
GMU,Greenville Downtown Airport,Greenville
GMV,Monument Valley Airport,Monument Valley
GNT,Grants-Milan Municipal Airport,Grants
GNV,Gainesville Regional Airport,Gainesville
GON,Groton New London Airport,Groton CT
GPT,Gulfport Biloxi International Airport,Gulfport
GPZ,Grand Rapids Itasca Co-Gordon Newstrom field,Grand Rapids MN
GQQ,Galion Municipal Airport,Galion
GRB,Austin Straubel International Airport,Green Bay
GRF,Gray Army Air Field,Fort Lewis
GRI,Central Nebraska Regional Airport,Grand Island
GRK,Robert Gray  Army Air Field Airport,Killeen
GRM,Grand Marais Cook County Airport,Grand Marais
GRR,Gerald R. Ford International Airport,Grand Rapids
GSB,Seymour Johnson Air Force Base,Goldsboro
GSO,Piedmont Triad International Airport,Greensboro
GSP,Greenville Spartanburg International Airport,Greenville
GST,Gustavus Airport,Gustavus
GTF,Great Falls International Airport,Great Falls
GTR,Golden Triangle Regional Airport,Columbus Mississippi
GUC,Gunnison Crested Butte Regional Airport,Gunnison
GUF,Jack Edwards Airport,Gulf Shores
GUP,Gallup Municipal Airport,Gallup
GUS,Grissom Air Reserve Base,Peru
GUY,Guymon Municipal Airport,Guymon
GVL,Lee Gilmer Memorial Airport,Gainesville
GVT,Majors Airport,Greenvile
GWO,Greenwood–Leflore Airport,Greenwood
GXY,Greeley–Weld County Airport,Greeley
GYR,Phoenix Goodyear Airport,Goodyear
GYY,Gary Chicago International Airport,Gary
HAF,Half Moon Bay Airport,Half Moon Bay
HAO,Butler Co Regional Airport - Hogan Field,Hamilton
HAR,Capital City Airport,Harrisburg
HBG,Hattiesburg Bobby L Chain Municipal Airport,Hattiesburg
HBR,Hobart Regional Airport,Hobart
HCR,Holy Cross Airport,Holy Cross
HCW,Cheraw Municipal Airport/Lynch Bellinger Field,Cheraw
HDE,Brewster Field,Holdredge
HDH,Dillingham Airfield,Dillingham
HDI,Hardwick Field,Cleveland
HDN,Yampa Valley Airport,Hayden
HFD,Hartford Brainard Airport,Hartford
HGR,Hagerstown Regional Richard A Henson Field,Hagerstown
HHH,Hilton Head Airport,Hilton Head Island
HHI,Wheeler Army Airfield,Wahiawa
HHR,Jack Northrop Field Hawthorne Municipal Airport,Hawthorne
HIB,Range Regional Airport,Hibbing
HIF,Hill Air Force Base,Ogden
HII,Lake Havasu City Airport,Lake Havasu City
HIO,Portland Hillsboro Airport,Hillsboro
HKY,Hickory Regional Airport,Hickory
HLG,Wheeling Ohio County Airport,Wheeling
HLI,Hollister Municipal Airport,Hollister
HLN,Helena Regional Airport,Helena
HLR,Hood Army Air Field,Fort Hood
HMN,Holloman Air Force Base,Alamogordo
HNH,Hoonah Airport,Hoonah
HNL,Daniel K Inouye International Airport,Honolulu
HNM,Hana Airport,Hana
HNS,Haines Airport,Haines
HOB,Lea County Regional Airport,Hobbs
HOM,Homer Airport,Homer
HON,Huron Regional Airport,Huron
HOP,Campbell AAF (Fort Campbell) Air Field,Hopkinsville
HOT,Memorial Field,Hot Springs
HOU,William P Hobby Airport,Houston
HPB,Hooper Bay Airport,Hooper Bay
HPN,Westchester County Airport,White Plains
HQM,Bowerman Airport,Hoquiam
HRL,Valley International Airport,Harlingen
HRO,Boone County Airport,Harrison
HSH,Henderson Executive Airport,Henderson
HSL,Huslia Airport,Huslia
HST,Homestead ARB Airport,Homestead
HSV,Huntsville International Carl T Jones Field,Huntsville
HTL,Roscommon County - Blodgett Memorial Airport,Houghton Lake
HTS,Tri-State/Milton J. Ferguson Field,Huntington
HTV,Huntsville Regional Airport,Huntsville
HUA,Redstone Army Air Field,Redstone
HUF,"Terre Haute Regional Airport, Hulman Field",Terre Haute
HUL,Houlton International Airport,Houlton
HUS,Hughes Airport,Hughes
HUT,Hutchinson Municipal Airport,Hutchinson
HVN,Tweed New Haven Airport,New Haven
HVR,Havre City County Airport,Havre
HVS,Hartsville Regional Airport,Hartsville
HWD,Hayward Executive Airport,Hayward
HWO,North Perry Airport,Hollywood
HYA,Barnstable Municipal Boardman Polando Field,Barnstable
HYG,Hydaburg Seaplane Base,Hydaburg
HYR,Sawyer County Airport,Hayward
HYS,Hays Regional Airport,Hays
HZL,Hazleton Municipal Airport,Hazleton
IAB,Mc Connell Air Force Base,Wichita
IAD,Washington Dulles International Airport,Washington
IAG,Niagara Falls International Airport,Niagara Falls
IAH,George Bush Intercontinental Houston Airport,Houston
IAN,Bob Baker Memorial Airport,Kiana
ICT,Wichita Eisenhower National Airport,Wichita
IDA,Idaho Falls Regional Airport,Idaho Falls
IDP,Independence Municipal Airport,Independence
IGG,Igiugig Airport,Igiugig
IKB,Wilkes County Airport,North Wilkesboro
IKK,Greater Kankakee Airport,Kankakee
IKO,Nikolski Air Station,Nikolski
ILG,New Castle Airport,Wilmington
ILI,Iliamna Airport,Iliamna
ILM,Wilmington International Airport,Wilmington
ILN,Wilmington Airpark,Wilmington
IMM,Immokalee Regional Airport,Immokalee 
IMT,Ford Airport,Iron Mountain
IND,Indianapolis International Airport,Indianapolis
INK,Winkler County Airport,Wink
INL,Falls International Airport,International Falls
INS,Creech Air Force Base,Indian Springs
INT,Smith Reynolds Airport,Winston-salem
INW,Winslow Lindbergh Regional Airport,Winslow
IOW,Iowa City Municipal Airport,Iowa City
IPL,Imperial County Airport,Imperial
IPT,Williamsport Regional Airport,Williamsport
IRB,Iraan Municipal Airport,Iraan
IRC,Circle City /New/ Airport,Circle
IRK,Kirksville Regional Airport,Kirksville
ISM,Kissimmee Gateway Airport,Kissimmee
ISN,Sloulin Field International Airport,Williston
ISO,Kinston Regional Jetport At Stallings Field,Kinston
ISP,Long Island Mac Arthur Airport,Islip
ISW,Alexander Field South Wood County Airport,Wisconsin Rapids
ITH,Ithaca Tompkins Regional Airport,Ithaca
ITO,Hilo International Airport,Hilo
IWS,West Houston Airport,Houston
IYK,Inyokern Airport,Inyokern
JAC,Jackson Hole Airport,Jacksn Hole
JAN,Jackson-Medgar Wiley Evers International Airport,Jackson
JAS,Jasper County Airport-Bell Field,Jasper
JAX,Jacksonville International Airport,Jacksonville
JBR,Jonesboro Municipal Airport,Jonesboro
JCI,New Century Aircenter Airport,Olathe
JCT,Kimble County Airport,Junction
JEF,Jefferson City Memorial Airport,Jefferson City
JFK,John F Kennedy International Airport,New York
JHM,Kapalua Airport,Lahania-kapalua
JHW,Chautauqua County-Jamestown Airport,Jamestown
JLN,Joplin Regional Airport,Joplin
JMS,Jamestown Regional Airport,Jamestown
JNU,Juneau International Airport,Juneau
JOT,Joliet Regional Airport,Joliet
JRA,West 30th St. Heliport,New York
JRB,Downtown-Manhattan/Wall St Heliport,New York
JRF,Kalaeloa Airport,Kapolei
JST,John Murtha Johnstown Cambria County Airport,Johnstown
JVL,Southern Wisconsin Regional Airport,Janesville
JXN,Jackson County Reynolds Field,Jackson
KAL,Kaltag Airport,Kaltag
KFP,False Pass Airport,False Pass
KGK,Koliganek Airport,Koliganek
KKA,Koyuk Alfred Adams Airport,Koyuk
KKH,Kongiganak Airport,Kongiganak
KLG,Kalskag Airport,Kalskag
KLN,Larsen Bay Airport,Larsen Bay
KLS,Southwest Washington Regional Airport,Kelso
KLW,Klawock Airport,Klawock
KMO,Manokotak Airport,Manokotak
KNW,New Stuyahok Airport,New Stuyahok
KOA,Ellison Onizuka Kona International At Keahole Airport,Kona
KOT,Kotlik Airport,Kotlik
KPC,Port Clarence Coast Guard Station,Port Clarence
KPN,Kipnuk Airport,Kipnuk
KPV,Perryville Airport,Perryville
KQA,Akutan Seaplane Base,Akutan
KSM,St Mary's Airport,St Mary's
KTN,Ketchikan International Airport,Ketchikan
KTS,Brevig Mission Airport,Brevig Mission
KUK,Kasigluk Airport,Kasigluk
KVC,King Cove Airport,King Cove
KVL,Kivalina Airport,Kivalina
KWK,Kwigillingok Airport,Kwigillingok
KWN,Quinhagak Airport,Quinhagak
KWT,Kwethluk Airport,Kwethluk
KYK,Karluk Airport,Karluk
KYU,Koyukuk Airport,Koyukuk
LAA,Lamar Municipal Airport,Lamar
LAF,Purdue University Airport,Lafayette
LAL,Lakeland Linder International Airport,Lakeland
LAM,Los Alamos Airport,Los Alamos
LAN,Capital City Airport,Lansing
